memoryUsed;totalTime;processorTime;overheadTime
40960;0.141182;0.055451;0.085731
40960;0.084999;0.015949;0.069050
40960;0.181094;0.002086;0.179008
40960;0.204180;0.065325;0.138855
40960;0.186915;0.016246;0.170669
