CLOCK;MEMORY_USED;PAPI_L1_TCM;PAPI_L2_TCM;PAPI_L3_TCM;PAPI_L2_TCA;PAPI_L3_TCA
273156272;143360;11789;18996;95;8759;18996
267339280;143360;11680;14864;190;8550;14864
269916600;143360;11680;13864;151;8596;13864
268035100;143360;11701;12544;134;8637;12544
270099376;143360;11845;19825;220;8828;19825
270244496;143360;11656;10719;161;8601;10719
267844342;143360;11688;12516;114;8621;12516
267778822;143360;11646;12979;170;8564;12979
292540500;153600;12489;16860;2304;9093;16860
289878538;153600;12536;11674;168;9237;11674
286529044;153600;12449;15584;167;9079;15584
289565756;153600;12541;17788;534;9174;17788
289215752;153600;12458;15332;164;9132;15332
288139908;153600;12446;15846;217;9070;15846
287069364;153600;12450;14656;514;9118;14656
287414602;153600;12454;12081;185;9117;12081
289916708;153600;12470;17003;245;9161;17003
290113094;153600;12480;15817;354;9110;15817
309259380;163840;13285;21216;259;9688;21216
306055914;163840;13290;15823;151;9725;15823
305686990;163840;13211;18701;296;9645;18701
308317754;163840;13234;14005;205;9689;14005
308413648;163840;13306;15461;181;9741;15461
309226774;163840;13274;14383;233;9750;14383
308304454;163840;13245;14892;243;9695;14892
307666600;163840;13284;11571;276;9738;11571
305950136;163840;13288;13351;249;9750;13351
307594076;163840;13233;13317;270;9668;13317
324428052;174080;14058;14775;191;10262;14775
325194512;174080;14177;20407;248;10442;20407
325679794;174080;14119;14078;172;10316;14078
324388598;174080;14139;16836;187;10339;16836
324506358;174080;14048;15718;263;10253;15718
326510654;174080;14089;17560;171;10260;17560
324964376;174080;14096;17660;202;10318;17660
326210394;174080;14061;15643;180;10265;15643
325744438;174080;14061;15614;220;10258;15614
328363844;174080;14296;24795;347;10525;24795
345595574;184320;14934;20645;4291;10883;20645
345472418;184320;14831;16746;433;10789;16746
343765186;184320;14958;19928;223;10938;19928
344047722;184320;14828;17084;192;10802;17084
346906648;184320;14873;16594;357;10858;16594
341771174;184320;14903;18531;34;10860;18531
343063172;184320;14902;17629;102;10839;17629
345267440;184320;14863;18477;40;10796;18477
345641762;184320;14908;16417;80;10874;16417
342129054;184320;14923;19960;90;10833;19960
362540850;194560;15859;25879;69;11619;25879
362410728;194560;15787;24003;124;11515;24003
364125238;194560;15855;25330;109;11572;25330
363777200;194560;15914;26430;67;11680;26430
363301332;194560;15820;24873;120;11548;24873
365257986;194560;15832;29285;137;11520;29285
362569896;194560;15864;26596;90;11593;26596
363313390;194560;15910;28400;76;11613;28400
367867144;194560;15803;24759;479;11592;24759
362751484;194560;15864;23591;113;11600;23591
381642806;204800;16610;24439;100;12090;24439
381644254;204800;16604;24355;97;12086;24355
381973244;204800;16658;26348;113;12152;26348
381753544;204800;16477;24734;141;11921;24734
380062240;204800;16522;24563;80;11913;24563
381822298;204800;16568;26629;108;12057;26629
385598086;204800;16673;26423;80;12194;26423
380261048;204800;16523;24895;294;11923;24895
381609798;204800;16577;26174;169;12086;26174
381927966;204800;16537;26004;86;12037;26004
400467608;215040;17489;30384;175;12704;30384
406433834;215040;17546;30840;348;12895;30840
400248822;215040;17479;28267;45;12710;28267
400572426;215040;17418;29671;75;12644;29671
400768384;215040;17485;27571;153;12743;27571
401088150;215040;17492;30098;240;12742;30098
401388774;215040;17491;28442;104;12711;28442
400562556;215040;17342;26122;76;12574;26122
401367454;215040;17388;29374;158;12614;29374
400983138;215040;17526;30114;153;12761;30114
418751510;225280;18049;27176;102;18008;27176
417817748;225280;18028;27042;85;18025;27042
417866868;225280;18018;26347;94;17985;26347
418557946;225280;18004;29941;176;17901;29941
418431934;225280;18050;30079;70;17963;30079
417770730;225280;18031;27206;137;17982;27206
418005094;225280;18060;30873;117;17982;30873
417850890;225280;18007;26388;154;17958;26388
570911204;225280;18041;23881;20;18017;23881
417826900;225280;18026;26209;69;17985;26209
436807438;235520;18829;30796;109;18744;30796
436515724;235520;18845;29699;141;18751;29699
436807450;235520;18817;29675;187;18729;29675
436621504;235520;18869;30575;114;18798;30575
436887308;235520;18812;30720;172;18717;30720
437281924;235520;18852;29036;176;18760;29036
436548272;235520;18864;26489;62;18839;26489
436568648;235520;18845;28857;64;18802;28857
436986770;235520;18815;31325;85;18735;31325
436943068;235520;18876;27855;180;18802;27855
455631374;245760;19618;29764;111;19526;29764
455463826;245760;19627;32122;128;19513;32122
456313512;245760;19627;31189;295;19512;31189
455965138;245760;19625;33676;119;19489;33676
459896742;245760;19637;34544;229;19488;34544
456094784;245760;19648;34345;126;19511;34345
456352010;245760;19707;30253;182;19623;30253
457136182;245760;19768;37452;97;19685;37452
456986378;245760;19742;38610;107;19611;38610
461096688;245760;19767;36126;138;19704;36126
477222006;256000;20508;35837;110;20382;35837
476817676;256000;20568;33313;187;20550;33313
476328026;256000;20522;33604;133;20436;33604
477513698;256000;20541;35863;209;20433;35863
476132244;256000;20541;37953;114;20428;37953
482105388;256000;20811;39863;1168;20780;39863
476917104;256000;20578;37615;147;20492;37615
475868258;256000;20449;35604;125;20303;35604
474665778;256000;20475;36191;91;20364;36191
474776032;256000;20447;33528;107;20320;33528
498620828;266240;21253;35019;96;21103;35019
493552804;266240;21264;34276;185;21157;34276
493743982;266240;21268;37574;57;21106;37574
494108012;266240;21321;33646;219;21181;33646
493597586;266240;21254;34555;69;21102;34555
493632440;266240;21265;36183;111;21117;36183
494274382;266240;21281;36317;141;21155;36317
493701478;266240;21266;34298;178;21129;34298
493596098;266240;21250;39858;149;21036;39858
497802472;266240;21251;38080;230;21129;38080
518808342;276480;22085;36406;666;21949;36406
512377842;276480;22061;36844;207;21954;36844
512625954;276480;22050;36860;139;21922;36860
513051216;276480;22020;39156;283;21837;39156
513303406;276480;22005;35638;137;21883;35638
513096886;276480;22084;38427;178;21916;38427
515660898;276480;22172;41845;137;22033;41845
513847058;276480;22082;37592;101;21995;37592
512739154;276480;22087;36529;74;21941;36529
516793564;276480;22087;37520;288;21909;37520
532003964;286720;22874;41450;198;22653;41450
532773378;286720;22869;40808;133;22646;40808
537414598;286720;22856;39635;104;22635;39635
532673072;286720;22863;39911;378;22648;39911
533405730;286720;22940;42189;180;22782;42189
539441218;286720;23005;44839;300;22847;44839
539065620;286720;23143;44459;369;23060;44459
537694724;286720;22935;40599;102;22777;40599
533431214;286720;22997;43043;194;22874;43043
533796902;286720;22973;43320;216;22810;43320
551863604;296960;23775;44294;276;23610;44294
552292054;296960;23748;45010;127;23545;45010
553527470;296960;23810;45452;307;23646;45452
552146858;296960;23703;43463;239;23589;43463
552602860;296960;23803;46610;184;23609;46610
552980084;296960;23812;46545;300;23615;46545
552192738;296960;23773;46088;228;23563;46088
552537686;296960;23788;47858;153;23607;47858
557574084;296960;23765;45637;238;23572;45637
550898850;296960;23682;42370;95;23454;42370
569601484;307200;24491;43253;291;24245;43253
569736476;307200;24482;46551;213;24187;46551
575818816;307200;24454;46344;1076;24201;46344
569274856;307200;24504;46319;197;24265;46319
573141706;307200;24469;45232;269;24205;45232
569553994;307200;24517;46296;184;24257;46296
569465428;307200;24487;45170;63;24238;45170
574691914;307200;24500;43920;336;24259;43920
569369804;307200;24477;44173;155;24229;44173
573965052;307200;24509;43364;369;24280;43364
588767370;317440;25311;45425;426;25078;45425
588970260;317440;25309;48149;222;25032;48149
591510226;317440;25515;49138;195;25338;49138
590718256;317440;25366;49151;186;25142;49151
591877394;317440;25421;49454;366;25200;49454
590266432;317440;25433;51047;70;25192;51047
593433900;317440;25305;45573;300;25053;45573
589039188;317440;25315;48497;414;25060;48497
588498194;317440;25284;46241;122;24998;46241
589466968;317440;25269;45963;269;24975;45963
607394056;327680;26126;48454;131;25859;48454
612740940;327680;26162;48101;287;25907;48101
609153290;327680;26185;52168;337;25902;52168
607423324;327680;26082;47114;168;25814;47114
613142076;327680;26119;49323;565;25827;49323
608072106;327680;26159;48141;423;25862;48141
612352468;327680;26105;46806;240;25840;46806
607627336;327680;26087;49778;296;25773;49778
607549602;327680;26102;46447;115;25832;46447
608174818;327680;26096;47423;292;25803;47423
626663982;337920;26935;48499;236;26663;48499
628455788;337920;27050;52291;244;26837;52291
631251348;337920;27163;56892;384;26927;56892
628022748;337920;26968;52595;194;26690;52595
627777922;337920;27022;50871;225;26794;50871
626766370;337920;26929;50903;343;26626;50903
627376152;337920;26962;51192;243;26677;51192
627942634;337920;27003;54160;168;26714;54160
628409956;337920;26997;53169;279;26742;53169
628320794;337920;26971;49233;277;26715;49233
647146056;348160;27808;56629;343;27497;56629
646497416;348160;27778;52152;264;27500;52152
646652216;348160;27814;57936;314;27507;57936
646990506;348160;27767;56039;315;27441;56039
647070702;348160;27839;57297;370;27562;57297
647824896;348160;27939;56910;573;27709;56910
646810626;348160;27774;55137;339;27449;55137
647714180;348160;27772;54287;310;27453;54287
645491354;348160;27759;54666;391;27444;54666
651932238;348160;27786;54730;361;27469;54730
666488120;358400;28638;60291;328;28292;60291
665941842;358400;28580;57025;350;28225;57025
665807262;358400;28628;56772;320;28355;56772
666817824;358400;28671;59273;659;28388;59273
666483360;358400;28583;57321;244;28248;57321
666294648;358400;28746;59807;318;28436;59807
666354966;358400;28679;58265;436;28388;58265
665684642;358400;28534;55225;296;28228;55225
666745508;358400;28611;56795;534;28291;56795
665678136;358400;28595;53927;397;28289;53927
685235810;368640;29426;61614;406;29030;61614
684893626;368640;29387;59274;394;29018;59274
684613026;368640;29386;58976;368;29047;58976
684956354;368640;29421;58458;671;29104;58458
685234186;368640;29398;55986;327;29082;55986
685227154;368640;29432;59780;374;29104;59780
685738610;368640;29458;59181;442;29129;59181
684297514;368640;29380;56071;369;29056;56071
680385470;368640;29325;57517;622;28955;57517
685309240;368640;29434;57640;382;29119;57640
702819432;378880;30155;61064;591;29741;61064
704265194;378880;30251;61354;498;29913;61354
703668018;378880;30224;60224;350;29878;60224
703763872;378880;30216;60180;380;29849;60180
703478960;378880;30270;58700;550;29895;58700
712320684;378880;30153;59896;982;29747;59896
711249950;378880;30142;60423;910;29723;60423
703663338;378880;30255;62991;393;29915;62991
702219240;378880;30135;59710;310;29746;59710
706291598;378880;30340;62859;739;30029;62859
721468618;389120;30966;62227;445;30539;62227
722640732;389120;31030;61118;223;30661;61118
727791514;389120;31030;63227;344;30643;63227
725583034;389120;31128;66259;348;30773;66259
726569710;389120;30935;62782;543;30473;62782
721035410;389120;30961;61355;259;30531;61355
726846972;389120;30930;62069;364;30479;62069
721403620;389120;30960;62938;487;30551;62938
717913480;389120;30939;60363;224;30514;60363
725881004;389120;30951;64619;483;30504;64619
740947806;399360;31728;62652;252;31275;62652
741434918;399360;31792;67328;372;31316;67328
740245438;399360;31771;65132;204;31303;65132
746352506;399360;31776;66260;492;31313;66260
741699470;399360;31743;66810;265;31213;66810
740143090;399360;31787;65068;249;31353;65068
745704200;399360;31762;66405;333;31291;66405
747009890;399360;31801;65492;783;31379;65492
742050156;399360;31756;66512;546;31282;66512
748504678;399360;31866;68318;2980;31425;68318
760361292;409600;32565;68346;400;32069;68346
759546522;409600;32588;66392;368;32151;66392
759216436;409600;32645;69876;188;32203;69876
765682674;409600;32469;66416;512;32070;66416
760909574;409600;32599;67066;351;32137;67066
759125288;409600;32587;68431;284;32119;68431
759490400;409600;32597;68400;146;32134;68400
765267494;409600;32642;67597;528;32166;67597
760581820;409600;32575;66581;400;32127;66581
764570652;409600;32597;68391;355;32134;68391
784920176;419840;33402;72644;943;32889;72644
779331298;419840;33431;71305;377;32986;71305
781157814;419840;33391;69922;1533;32831;69922
778331034;419840;33454;71993;272;32969;71993
783911596;419840;33427;70072;362;32923;70072
778923118;419840;33434;71295;281;32918;71295
779874068;419840;33416;72558;442;32929;72558
783932506;419840;33411;69183;243;32921;69183
778352918;419840;33383;70872;221;32864;70872
783399312;419840;33467;74113;187;32973;74113
804181576;430080;34148;73041;827;33641;73041
800950684;430080;34429;71707;640;33982;71707
798674308;430080;34227;72811;597;33717;72811
804591308;430080;34251;73824;940;33719;73824
806305820;430080;34213;72954;1090;33653;72954
808080502;430080;34264;74406;4416;33767;74406
801474670;430080;34342;76596;1108;33835;76596
799092124;430080;34300;70439;385;33844;70439
802885290;430080;34273;72908;320;33795;72908
797699800;430080;34202;72494;252;33741;72494
827193100;440320;35049;76827;3206;34416;76827
816389422;440320;34984;72623;509;34479;72623
816454476;440320;35018;74759;321;34467;74759
816165842;440320;34971;74625;202;34426;74625
821922526;440320;34976;73776;609;34422;73776
821750634;440320;34965;74435;339;34459;74435
816759944;440320;35023;73777;271;34499;73777
816514884;440320;35062;75629;292;34556;75629
816588682;440320;35022;73650;171;34530;73650
820764482;440320;35034;74519;135;34530;74519
836269926;450560;35849;77201;307;35293;77201
836029900;450560;35780;77412;296;35229;77412
840355542;450560;35811;76186;384;35238;76186
835172714;450560;35816;75560;249;35251;75560
836495970;450560;35920;75173;436;35386;75173
841860658;450560;35846;77352;725;35295;77352
836395414;450560;35830;79064;481;35241;79064
836223412;450560;35850;76945;369;35294;76945
835009192;450560;35803;77231;332;35212;77231
835214752;450560;35836;77886;225;35288;77886
859550210;460800;36580;79733;172;36002;79733
860078550;460800;36629;77442;657;36065;77442
860230352;460800;36717;79826;584;36159;79826
854875788;460800;36657;79474;368;36061;79474
854478136;460800;36614;79322;337;36043;79322
854523528;460800;36617;79722;412;36039;79722
