CLOCK;MEMORY_USED;PAPI_L1_TCM;PAPI_L2_TCM;PAPI_L3_TCM;PAPI_L2_TCA;PAPI_L3_TCA
5878303522;3174400;283020;627243;51406;277499;627243
5880042232;3174400;251932;560516;117618;246419;560516
5879737102;3174400;252015;560619;109070;246444;560619
5878326674;3174400;283018;627448;57071;277493;627448
5876894054;3174400;282949;627565;52532;277284;627565
5877305144;3174400;282972;627271;54127;277343;627271
5877295960;3174400;282864;627050;49793;277147;627050
6067627738;3276800;291091;645813;61417;285359;645813
6068338726;3276800;260010;577774;105231;254160;577774
6069823238;3276800;260200;577885;113811;254509;577885
6046985344;3276800;260293;578299;108413;254570;578299
6040711102;3276800;291098;646005;62545;285298;646005
6069702314;3276800;260140;577847;99388;254461;577847
6073316932;3276800;291024;645470;63354;285150;645470
6068561784;3276800;260141;577721;109665;254297;577721
6049939330;3276800;291392;652336;207441;281054;652336
6067571642;3276800;291409;645660;56986;285604;645660
6259124196;3379200;268899;596357;115456;262971;596357
6257455066;3379200;299389;665092;66013;293611;665092
6258292392;3379200;299465;665014;63915;293605;665014
6257805488;3379200;299443;666635;84041;292408;666635
6260827346;3379200;299117;671456;87051;292366;671456
6259389672;3379200;268397;596281;94044;262607;596281
6251994438;3379200;299288;671000;197538;293197;671000
6258438176;3379200;268385;597283;119267;262533;597283
6258674164;3379200;299423;664691;63184;293479;664691
6257988074;3379200;299271;670629;59110;293192;670629
6446827108;3481600;307287;688376;65081;301013;688376
6447062798;3481600;307696;688657;74423;301530;688657
6447287730;3481600;307231;688905;71423;300975;688905
6448177922;3481600;276404;619445;118489;270285;619445
6450679850;3481600;307357;688810;67739;300749;688810
6453433688;3481600;307574;683311;73842;301188;683311
6450172482;3481600;276598;615754;124528;270641;615754
6448667276;3481600;277382;615452;122640;271394;615452
6448782622;3481600;276467;615585;117706;270466;615585
6423272466;3481600;276908;614779;115210;270846;614779
6636468170;3584000;315676;701476;74906;309481;701476
6635637850;3584000;315801;701235;75397;309632;701235
6619340128;3584000;315642;703383;116175;307339;703383
6635881082;3584000;315474;701187;75267;309196;701187
6636219550;3584000;315408;701026;69656;309156;701026
6636394610;3584000;315694;701179;69437;309491;701179
6635809684;3584000;315530;701123;67045;309371;701123
6637664542;3584000;284695;633074;119192;278560;633074
6638130520;3584000;285507;633280;120130;279450;633280
6636174692;3584000;315576;700984;70560;309294;700984
6821607238;3686400;324026;725785;222390;317300;725785
6825317408;3686400;324178;718562;77220;317704;718562
6800466824;3686400;323597;718626;81024;317196;718626
6827868812;3686400;292993;651712;123836;286667;651712
6826889592;3686400;293317;651987;130647;286913;651987
6801227482;3686400;323863;719774;79179;317410;719774
6826072514;3686400;323817;718934;77214;317443;718934
6825642068;3686400;324222;719217;73048;317826;719217
6828129502;3686400;293004;650987;128422;286741;650987
6827775214;3686400;293373;651338;119998;286877;651338
7015095526;3788800;332007;737095;74368;325511;737095
7016434040;3788800;331973;737297;79775;325388;737297
7015488268;3788800;331939;737004;75126;325338;737004
7015591974;3788800;331735;737281;78127;325119;737281
7016284702;3788800;332045;736949;81038;325525;736949
7017995290;3788800;300830;669497;128202;294268;669497
6988978698;3788800;331795;737156;83729;325161;737156
7015754736;3788800;331890;737101;83418;325379;737101
7017738402;3788800;301152;669843;140144;294459;669843
7015752836;3788800;332260;737421;81345;325651;737421
7205625214;3891200;340012;755394;87150;333195;755394
7205665890;3891200;339769;754747;82933;332898;754747
7204642266;3891200;339948;755382;83569;333161;755382
7189959770;3891200;339984;755237;88079;333186;755237
7205181964;3891200;340125;755671;85912;333400;755671
7205560710;3891200;339839;760234;180344;331004;760234
7207264388;3891200;309201;688991;150062;302349;688991
7205417584;3891200;339926;755075;86445;333115;755075
7204686800;3891200;339882;755958;81845;333135;755958
7208168156;3891200;340111;764661;281419;330360;764661
7395976386;3993600;348294;776973;156975;341206;776973
7394771318;3993600;348116;774133;101783;341049;774133
7395946936;3993600;348285;774257;98060;341455;774257
7396162304;3993600;317136;706149;149122;310099;706149
7392938404;3993600;348595;773756;99798;341714;773756
7395424886;3993600;348379;774134;96694;341429;774134
7397027156;3993600;317404;706293;151767;310349;706293
7394702170;3993600;348238;774671;95922;341262;774671
7394575536;3993600;348090;773818;95536;341061;773818
7373449690;3993600;347914;774395;101042;340891;774395
7583751592;4096000;356271;792299;103639;349130;792299
7584678330;4096000;356382;791911;104460;349152;791911
7585108038;4096000;356891;792030;103523;349712;792030
7584423638;4096000;356273;792206;100713;349007;792206
